INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-01-01 00:33:47, 41322198035, 4759,  SIEDLCE ,  Józefa Wieniawskiego, 98);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-01-01 02:13:47, 41322198035, 235,  CHEŁM ,  Władysława Biegańskiego, 142);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-01-01 04:32:52, 65302369073, 6444,  KOKOSZKI ,  Borówkowa, 114);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-01-01 08:25:13, 02062222185, 6763,  OLIWA ,  Opacka, 17);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-01-01 12:10:07, 32280593260, 8880,  ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA ,  Pelplińska, 184);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-01-01 17:23:58, 69313010571, 7485,  STOGI ,  Zalesie, 225);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-01-02 03:26:54, 69313010571, 6992,  STRZYŻA ,  Kmieca, 57);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-01-02 06:26:53, 45260221714, 2749,  WYSPA SOBIESZEWSKA ,  Tęczowa, 196);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-01-02 20:50:07, 45260221714, 5211,  ORUNIA-ŚW. WOJCIECH-LIPCE ,  Park Oruński , 168);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-01-03 17:06:54, 34320713667, 3424,  OLSZYNKA ,  Pusta, 140);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (kredytowany, 2016-01-03 18:11:54, 61272849948, 6425,  OSOWA ,  Gryfa Pomorskiego, 97);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (gotówkowy, 2016-01-03 21:33:07, 61272849948, 1102,  OLSZYNKA ,  Pusta, 232);
INSERT INTO Mandat (TypPlatnosci, Data, PESELKaranego, NumerSluzbowyFunkcjunariusza, NazwaDzielnicy, Ulica, Wykroczenie) VALUES (zaoczny, 2016-01-04 00:31:13, 25320121268, 9194,  LETNICA ,  Narwicka, 216);
