zaoczny,2016-01-01 08:08:55,80210235519,8642,  WYSPA SOBIESZEWSKA , Pogodna,97
zaoczny,2016-01-01 12:39:48,87011784848,9580,  SIEDLCE , Jana Chryzostoma Paska,144
kredytowany,2016-01-01 15:01:09,56301273515,6161,  RUDNIKI , Elbląska,246
zaoczny,2016-01-01 16:04:53,67252530280,6180,  KRAKOWIEC-GÓRKI ZACHODNIE , Mewy,183
kredytowany,2016-01-01 18:10:33,84292511422,7360,  PIECKI-MIGOWO , Związku Jaszczurczego,83
zaoczny,2016-01-01 19:48:12,50300911506,1706,  ORUNIA-ŚW. WOJCIECH-LIPCE , Nowiny,180
gotówkowy,2016-01-01 21:47:59,51112410791,8344,  KOKOSZKI , Kortowska,56
zaoczny,2016-01-01 23:40:43,19302844292,7224,  CHEŁM , Ametystowa,237
gotówkowy,2016-01-02 00:51:12,98262370078,1163,  MŁYNISKA , Twarda,142
zaoczny,2016-01-02 01:21:11,04122022160,2348,  OSOWA , Bukowa,254
kredytowany,2016-01-02 02:51:30,91021952368,7516,  PIECKI-MIGOWO , prof. Stefana Myczkowskiego,219
zaoczny,2016-01-02 04:47:46,84010495117,7674,  OLSZYNKA , Ścieżki,163
gotówkowy,2016-01-02 12:14:43,76051737349,4456,  OLIWA , Jana Bażyńskiego,20
kredytowany,2016-01-02 12:59:22,90061044774,4268,  BRĘTOWO , Jerzego Giedroycia,61
zaoczny,2016-01-02 13:57:11,91021824821,0180,  ŚRÓDMIEŚCIE , Łagiewniki,229
zaoczny,2016-01-02 14:36:59,50052716976,0573,  PIECKI-MIGOWO , Amundsena,69
kredytowany,2016-01-02 14:43:36,45250816779,0708,  ŚRÓDMIEŚCIE , Węzeł im. Carla Groddecka ,172
kredytowany,2016-01-02 21:26:08,72102689768,5756,  CHEŁM , Szermiercza,88
kredytowany,2016-01-03 00:25:53,00020720557,5660,  ŚRÓDMIEŚCIE , Długa Grobla,13
kredytowany,2016-01-03 02:12:39,65051725522,4118,  OSOWA , Artemidy,118
gotówkowy,2016-01-03 07:02:35,58021275613,529,  ŚRÓDMIEŚCIE , Szklary,202
gotówkowy,2016-01-03 10:05:18,46211569143,4218,  WRZESZCZ GÓRNY , Róży Ostrowskiej,220
gotówkowy,2016-01-03 10:31:52,41212913694,3931,  , Park Brzeźnieński im. Jana Jerzego
,91
kredytowany,2016-01-03 17:45:29,46211569143,2436,  ŚRÓDMIEŚCIE , Targ Węglowy,171
kredytowany,2016-01-03 18:18:02,63211720112,6865,  ZASPA-ROZSTAJE , Janusza Meissnera,19
gotówkowy,2016-01-04 00:00:08,92010868329,8111,  MŁYNISKA , Jana z Kolna ,215
zaoczny,2016-01-04 07:03:14,56291019805,8744,  PIECKI-MIGOWO , Myśliwska,134
zaoczny,2016-01-04 08:49:23,66030765650,6498,  STRZYŻA , Fryderyka Chopina,89
gotówkowy,2016-01-04 09:15:37,16261731179,3230,  OSOWA , Barniewicka,239
gotówkowy,2016-01-04 11:06:17,35091289021,7265,  VII DWÓR , Drożyny,106
zaoczny,2016-01-04 14:41:50,60231916714,4255,  WRZESZCZ GÓRNY , Jaśkowa Dolina,81
gotówkowy,2016-01-04 17:54:52,52052597605,681,  VII DWÓR , Franciszka Bellinga,227
zaoczny,2016-01-04 19:55:19,57321833033,3697,  WRZESZCZ GÓRNY , ks. Leona Miszewskiego,130
zaoczny,2016-01-04 22:26:08,25232949813,1837,  ŚRÓDMIEŚCIE , Słomiana,253
kredytowany,2016-01-04 23:16:44,33092949856,9400,  STRZYŻA , Żeglarska,81
zaoczny,2016-01-05 00:31:42,95262483315,2785,  WRZESZCZ DOLNY , Gołębia,4
gotówkowy,2016-01-05 01:05:38,52260483167,2561,  OSOWA , Posejdona,186
kredytowany,2016-01-05 02:16:41,15312866231,252,  KOKOSZKI , Będomińska,130
kredytowany,2016-01-05 02:24:22,24072523746,9208,  ŚRÓDMIEŚCIE , Targ Węglowy,34
zaoczny,2016-01-05 03:34:11,84292511422,9269,  MATARNIA , Internetowa,108
gotówkowy,2016-01-05 11:32:07,06081429194,4410,  OLIWA , Jasia i Małgosi,132
gotówkowy,2016-01-05 16:12:06,86251597690,9106,  ŚRÓDMIEŚCIE , Żabi Kruk,138
kredytowany,2016-01-06 02:53:43,12312283378,4346,  SIEDLCE , Ciasna,151
kredytowany,2016-01-06 04:21:08,84282619860,3918,  KOKOSZKI , Widlińska,258
zaoczny,2016-01-06 07:23:52,56021966715,6498,  STRZYŻA , Grzegorza Fitelberga,34
gotówkowy,2016-01-06 08:07:51,63251241699,919,  VII DWÓR , Romana i Apolonii Ogryczaków,11
gotówkowy,2016-01-06 11:03:23,30070497280,0804,  ANIOŁKI , gen. Antoniego Giełguda,183
gotówkowy,2016-01-06 13:28:03,61120691204,4850,  UJEŚCISKO-ŁOSTOWICE , Pienińska,36
kredytowany,2016-01-06 20:17:00,22040173977,6516,  ŚRÓDMIEŚCIE , Targ Węglowy,3
gotówkowy,2016-01-07 15:06:04,14100919999,3272,  ORUNIA-ŚW. WOJCIECH-LIPCE , Związkowa,160
gotówkowy,2016-01-08 01:53:35,53210410707,4118,  CHEŁM , Damazego Tilgnera,53
zaoczny,2016-01-08 03:35:32,21070193566,2860,  KOKOSZKI , Jaśminowy Stok,173
zaoczny,2016-01-08 03:54:11,01310233461,6156,  NOWY PORT , Marynarki Polskiej,167
gotówkowy,2016-01-08 11:03:23,29231510090,096,  WRZESZCZ DOLNY , Lilli Wenedy,59
kredytowany,2016-01-08 15:21:01,91100994418,4944,  KRAKOWIEC-GÓRKI ZACHODNIE , Kępna,225
zaoczny,2016-01-08 20:48:16,59322219560,0874,  OSOWA , Bukowa,69
zaoczny,2016-01-08 22:45:17,99261045576,4218,  NOWY PORT , Krzywa,167
gotówkowy,2016-01-09 01:37:16,81321014235,0446,  KOKOSZKI , Metalowców,54
kredytowany,2016-01-09 09:02:39,39082192385,4217,  WYSPA SOBIESZEWSKA , Węgorzowa,37
kredytowany,2016-01-09 09:53:20,78052516792,0437,  ŚRÓDMIEŚCIE , Podkramarska,41
zaoczny,2016-01-09 10:31:36,49060945036,3973,  OSOWA , Willowa,42
kredytowany,2016-01-09 10:32:33,55091050829,349,  WRZESZCZ DOLNY , Jana Strakowskiego,15
kredytowany,2016-01-09 11:38:00,22062749181,3750,  VII DWÓR , Tadeusza Czarnowskiego,68
gotówkowy,2016-01-09 13:13:29,19121711306,4705,  WYSPA SOBIESZEWSKA , Astrowa,126
kredytowany,2016-01-09 16:24:08,82060623539,3499,  ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA , Pomorska,185
kredytowany,2016-01-09 17:38:01,98262370078,8380,  PIECKI-MIGOWO , prof. Stefana Myczkowskiego,6
zaoczny,2016-01-09 19:36:09,15121933836,044,  II PRZYMORZE MAŁE , Mściwoja,229
gotówkowy,2016-01-09 23:27:39,52020436837,8133,  ŻABIANKA-WEJHERA-JELITKOWO-TYSIĄCLECIA , Orłowska,73
gotówkowy,2016-01-10 00:15:54,26030163612,0952,  WRZESZCZ GÓRNY , Do Studzienki,59
gotówkowy,2016-01-10 05:55:10,47082648867,9185,  ORUNIA-ŚW. WOJCIECH-LIPCE , Kolonia Mysia,25
zaoczny,2016-01-10 06:45:58,08032941478,1991,  WRZESZCZ DOLNY , Bolesława Chrobrego,118
gotówkowy,2016-01-10 10:34:49,09221613930,3429,  OLIWA , Jasia i Małgosi,163
kredytowany,2016-01-10 14:56:31,29292435174,061,  ANIOŁKI , Daniela Fahrenheita,212
